Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
15812814,"Crossed (Matched, #2)",Ally Condie,"Condie, Ally",,"=""0142421715""","=""9780142421710""",0,3.52,Speak,Paperback,367,2013,2011,,2019/04/23,to-read,to-read (#482),to-read,,,,0,,,0,,,,,
5981872,"The Madness of Lord Ian Mackenzie (Mackenzies & McBrides, #1)",Jennifer Ashley,"Ashley, Jennifer",,"=""0843960434""","=""9780843960433""",0,4.05,Leisure Books,Mass Market Paperback,320,2009,2009,,2019/04/23,to-read,to-read (#481),to-read,,,,0,,,0,,,,,
33259027,"The Duchess Deal (Girl Meets Duke, #1)",Tessa Dare,"Dare, Tessa",,"=""""","=""""",0,4.05,Avon,Kindle Edition,389,2017,2017,,2019/04/23,to-read,to-read (#480),to-read,,,,0,,,0,,,,,
15925,The Guardian,Nicholas Sparks,"Sparks, Nicholas",,"=""0446696110""","=""9780446696111""",0,4.15,Grand Central Publishing,Paperback,400,2005,2003,,2019/04/23,to-read,to-read (#479),to-read,,,,0,,,0,,,,,
17029526,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Abbi Glines,"Glines, Abbi",,"=""1301627445""","=""9781301627448""",0,4.2,Smashwords,ebook,193,2013,2013,,2019/04/23,to-read,to-read (#478),to-read,,,,0,,,0,,,,,
8755785,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,"Clare, Cassandra",,"=""1481426303""","=""9781481426305""",0,4.47,Margaret K. McElderry Books,Hardcover,725,2014,2014,,2019/04/23,to-read,to-read (#477),to-read,,,,0,,,0,,,,,
17623975,"Just One Day (Just One Day, #1)",Gayle Forman,"Forman, Gayle",,"=""0142422959""","=""9780142422953""",0,4.01,Speak,Paperback,369,2013,2013,,2019/04/23,to-read,to-read (#476),to-read,,,,0,,,0,,,,,
3462,The Rescue,Nicholas Sparks,"Sparks, Nicholas",,"=""0446696129""","=""9780446696128""",0,4.1,Grand Central Publishing,Paperback,352,2005,2000,,2019/04/23,to-read,to-read (#475),to-read,,,,0,,,0,,,,,
6644117,"The Iron King (The Iron Fey, #1)",Julie Kagawa,"Kagawa, Julie",,"=""0373210086""","=""9780373210084""",0,3.91,Harlequin Teen,Paperback,363,2010,2010,,2019/04/23,to-read,to-read (#474),to-read,,,,0,,,0,,,,,
6654313,"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,"Stiefvater, Maggie",,"=""0545123283""","=""9780545123280""",0,3.91,Scholastic Press,Hardcover,362,2010,2010,,2019/04/23,to-read,to-read (#473),to-read,,,,0,,,0,,,,,
6527740,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,"Mead, Richelle",,"=""1595143068""","=""9781595143068""",0,4.4,Razorbill,Hardcover,594,2010,2010,,2019/04/23,to-read,to-read (#472),to-read,,,,0,,,0,,,,,
22205,This Lullaby,Sarah Dessen,"Dessen, Sarah",,"=""0142501557""","=""9780142501559""",0,4.03,Speak,Paperback,345,2004,2002,,2019/04/23,to-read,to-read (#470),to-read,,,,0,,,0,,,,,
2948832,"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas,"Kleypas, Lisa",,"=""0312949812""","=""9780312949815""",0,4.1,St. Martin's Paperbacks,Mass Market Paperback,360,2008,2008,,2019/04/23,to-read,to-read (#471),to-read,,,,0,,,0,,,,,
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, George Gibian","=""""","=""""",0,4.04,Vintage,Paperback,964,2012,1877,,2019/04/23,to-read,to-read (#469),to-read,,,,0,,,0,,,,,
3819326,"Angels' Blood (Guild Hunter, #1)",Nalini Singh,"Singh, Nalini",,"=""0425226921""","=""9780425226926""",0,4.11,Berkley Sensation,Mass Market Paperback,339,2009,2009,,2019/04/23,to-read,to-read (#467),to-read,,,,0,,,0,,,,,
7046495,"Lover Mine (Black Dagger Brotherhood, #8)",J.R. Ward,"Ward, J.R.",,"=""0451229851""","=""9780451229854""",0,4.41,NAL ,Hardcover,528,2010,2010,,2019/04/23,to-read,to-read (#468),to-read,,,,0,,,0,,,,,
9571478,"Just Like Heaven (Smythe-Smith Quartet, #1)",Julia Quinn,"Quinn, Julia",,"=""006149190X""","=""9780061491900""",0,3.94,Avon Harper Collins,Mass Market Paperback,374,2011,2011,,2019/04/23,to-read,to-read (#466),to-read,,,,0,,,0,,,,,
11408650,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",Michelle Hodkin,"Hodkin, Michelle",,"=""""","=""""",0,4.07,Simon & Schuster Books for Young Readers,Kindle Edition,456,2011,2011,,2019/04/23,to-read,to-read (#464),to-read,,,,0,,,0,,,,,
